ten,twen,threefive,fifty,sixty,sevenfive,nine
50.0,48.75,46.875,43.75,40.625,36.875,15.0
48.5714285714,48.5714285714,45.0,44.2857142857,40.7142857143,35.0,21.4285714286
50.0,50.0,45.0,41.6666666667,36.6666666667,33.3333333333,20.0
50.0,50.0,49.0,50.0,49.0,47.0,31.0
42.2222222222,43.3333333333,42.2222222222,37.7777777778,37.7777777778,33.3333333333,14.4444444444
44.0,41.0,38.0,36.0,33.0,28.0,13.0
44.4444444444,44.4444444444,44.4444444444,43.3333333333,42.2222222222,40.0,16.6666666667
50.0,48.0,46.6666666667,45.3333333333,42.6666666667,37.3333333333,18.0
48.5714285714,49.2857142857,47.8571428571,46.4285714286,43.5714285714,38.5714285714,21.4285714286
48.5714285714,47.1428571429,46.6666666667,41.9047619048,38.0952380952,30.4761904762,15.2380952381
49.4117647059,47.6470588235,44.7058823529,43.5294117647,41.7647058824,35.8823529412,15.8823529412
48.75,48.75,46.875,41.25,43.75,33.125,19.375
42.5,43.75,41.25,43.75,41.25,35.0,18.75
50.0,50.0,49.0,49.0,44.0,40.0,17.0
48.75,46.875,47.5,42.5,42.5,31.875,20.0
49.2307692308,46.9230769231,46.9230769231,44.6153846154,39.2307692308,32.3076923077,16.1538461538
49.3333333333,48.6666666667,47.3333333333,44.6666666667,38.6666666667,34.0,16.6666666667
49.2857142857,47.8571428571,47.1428571429,45.7142857143,40.7142857143,35.7142857143,22.1428571429
48.125,48.75,44.375,38.125,35.0,30.625,12.5
45.4545454545,45.4545454545,42.7272727273,39.0909090909,38.1818181818,36.3636363636,15.4545454545
47.7777777778,48.8888888889,48.8888888889,45.5555555556,40.0,28.8888888889,14.4444444444
50.0,50.0,50.0,49.0,49.0,46.0,28.0
49.375,48.125,46.25,44.375,43.125,37.5,17.5
49.0,49.0,49.0,44.0,37.0,30.0,17.0
50.0,50.0,49.0,48.0,45.0,40.0,18.0
46.9230769231,47.6923076923,45.3846153846,42.3076923077,37.6923076923,34.6153846154,15.3846153846
49.0,49.0,47.0,46.0,42.0,37.0,17.0
47.5,45.8333333333,44.1666666667,44.1666666667,41.6666666667,35.8333333333,15.8333333333
48.8888888889,46.6666666667,43.3333333333,40.0,40.0,32.2222222222,20.0
50.0,50.0,50.0,45.0,40.0,38.0,23.0
49.1666666667,48.3333333333,47.5,43.3333333333,41.6666666667,36.6666666667,19.1666666667
48.8888888889,47.7777777778,48.8888888889,46.6666666667,36.6666666667,36.6666666667,18.8888888889
48.75,48.75,48.75,45.0,43.75,38.75,16.25
50.0,50.0,50.0,50.0,50.0,50.0,46.6666666667
50.0,50.0,49.0,47.0,46.0,42.0,30.0
46.6666666667,46.6666666667,45.5555555556,44.4444444444,38.8888888889,40.0,16.6666666667
45.5555555556,46.6666666667,42.2222222222,41.1111111111,35.5555555556,33.3333333333,17.7777777778
49.2857142857,47.1428571429,46.4285714286,42.8571428571,41.4285714286,37.8571428571,21.4285714286
50.0,50.0,49.0909090909,46.3636363636,40.0,39.0909090909,14.5454545455
47.6923076923,47.6923076923,46.9230769231,41.5384615385,43.0769230769,33.8461538462,20.7692307692
50.0,48.5714285714,47.1428571429,40.7142857143,37.1428571429,37.1428571429,15.0
46.4285714286,48.5714285714,45.0,42.8571428571,36.4285714286,31.4285714286,16.4285714286
45.3846153846,46.1538461538,44.6153846154,39.2307692308,36.9230769231,32.3076923077,15.3846153846
49.0909090909,47.2727272727,46.3636363636,43.6363636364,40.9090909091,32.7272727273,14.5454545455
50.0,49.2857142857,47.8571428571,45.7142857143,40.0,32.1428571429,14.2857142857
50.0,47.1428571429,44.2857142857,45.7142857143,42.8571428571,40.0,24.2857142857
46.6666666667,45.5555555556,46.6666666667,43.3333333333,37.7777777778,36.6666666667,17.7777777778
45.0,44.0,42.0,38.0,35.0,28.0,17.0
48.0,48.0,48.0,42.0,42.0,35.0,26.0
48.8888888889,48.8888888889,48.8888888889,46.6666666667,40.0,40.0,24.4444444444
50.0,48.0,45.3333333333,42.0,38.0,32.6666666667,15.3333333333
49.2857142857,48.5714285714,46.4285714286,45.0,39.2857142857,33.5714285714,22.1428571429
48.8888888889,48.8888888889,47.7777777778,44.4444444444,41.1111111111,33.3333333333,13.3333333333
48.75,47.5,46.25,43.125,43.75,35.0,19.375
50.0,48.75,46.875,43.75,40.625,36.875,15.0
47.5,47.5,45.8333333333,45.0,42.5,40.0,19.1666666667
50.0,50.0,50.0,42.0,40.0,36.0,24.0
50.0,48.0,46.0,45.0,44.0,35.0,27.0
42.3076923077,42.3076923077,41.5384615385,40.0,36.1538461538,32.3076923077,16.9230769231
50.0,48.75,47.5,46.25,42.5,43.75,25.0
49.375,48.75,46.25,45.0,42.5,33.75,20.0
48.75,46.875,43.75,43.75,40.625,35.625,20.0
50.0,50.0,50.0,50.0,48.0,46.0,30.0
50.0,50.0,50.0,45.5555555556,42.2222222222,38.8888888889,20.0
46.6666666667,45.5555555556,45.5555555556,41.1111111111,38.8888888889,37.7777777778,16.6666666667
50.0,50.0,50.0,48.5714285714,45.7142857143,45.7142857143,27.1428571429
45.8333333333,43.3333333333,45.0,40.0,35.8333333333,35.8333333333,16.6666666667
46.6666666667,46.6666666667,44.4444444444,43.3333333333,37.7777777778,34.4444444444,17.7777777778
48.5714285714,48.5714285714,46.4285714286,42.8571428571,41.4285714286,34.2857142857,22.8571428571
42.5,42.5,42.5,42.5,40.0,35.0,17.5
50.0,50.0,50.0,50.0,48.0,44.0,30.0
