ten,twen,threefive,fifty,sixty,sevenfive,nine
45.5172413793,45.1724137931,42.4137931034,41.0344827586,36.2068965517,31.3793103448,19.3103448276
44.4827586207,43.1034482759,41.0344827586,38.275862069,35.1724137931,30.0,19.6551724138
45.0,45.0,42.9411764706,40.0,38.5294117647,33.8235294118,21.1764705882
48.0,47.3333333333,45.6666666667,42.0,41.0,38.6666666667,18.0
46.1764705882,44.7058823529,42.9411764706,41.4705882353,39.7058823529,32.6470588235,18.5294117647
47.3333333333,45.0,40.3333333333,39.0,37.0,31.0,16.6666666667
46.0869565217,45.652173913,44.7826086957,41.7391304348,37.3913043478,33.0434782609,23.0434782609
47.4193548387,47.4193548387,45.4838709677,42.2580645161,42.5806451613,35.8064516129,20.9677419355
49.7297297297,49.4594594595,45.6756756757,42.4324324324,40.2702702703,32.4324324324,20.0
44.5161290323,44.1935483871,42.9032258065,41.935483871,40.3225806452,35.4838709677,20.0
47.5,45.8333333333,45.4166666667,42.5,40.4166666667,35.8333333333,25.0
48.3333333333,46.6666666667,45.5555555556,40.8333333333,38.8888888889,31.6666666667,19.4444444444
48.1081081081,48.1081081081,46.2162162162,42.4324324324,41.0810810811,33.5135135135,20.2702702703
47.6666666667,48.3333333333,46.0,40.0,39.0,34.0,17.3333333333
46.2068965517,46.5517241379,45.1724137931,42.0689655172,38.6206896552,33.7931034483,19.3103448276
48.4848484848,47.2727272727,44.8484848485,43.0303030303,39.3939393939,34.5454545455,18.1818181818
48.5714285714,48.5714285714,47.619047619,46.1904761905,42.8571428571,40.9523809524,28.0952380952
49.2105263158,48.6842105263,47.1052631579,41.3157894737,38.9473684211,32.1052631579,19.4736842105
45.4166666667,44.1666666667,40.8333333333,39.5833333333,35.8333333333,32.9166666667,22.0833333333
49.4117647059,49.7058823529,47.0588235294,44.4117647059,40.5882352941,35.5882352941,21.7647058824
48.2857142857,46.0,45.1428571429,40.8571428571,39.4285714286,33.4285714286,20.5714285714
45.5,44.25,42.5,39.5,35.0,26.5,13.0
49.0,49.5,45.5,43.0,40.0,33.0,24.5
49.0,47.3333333333,44.6666666667,42.0,39.3333333333,30.3333333333,18.3333333333
47.25,44.75,45.5,42.0,36.75,30.25,13.0
48.9285714286,48.5714285714,48.2142857143,45.7142857143,40.7142857143,34.6428571429,21.0714285714
48.5,47.5,47.0,40.5,41.0,37.5,24.0
49.5238095238,48.5714285714,44.7619047619,41.9047619048,38.0952380952,36.1904761905,22.380952381
46.8292682927,46.3414634146,44.6341463415,41.7073170732,38.7804878049,28.7804878049,12.6829268293
46.2068965517,45.8620689655,44.8275862069,40.6896551724,35.8620689655,30.6896551724,18.6206896552
45.5263157895,43.9473684211,42.3684210526,39.2105263158,35.5263157895,28.9473684211,10.7894736842
